Modelo Bateria,Tensao,Peso (g),Capacidade Bateria,Modelo Motor,Capacidade em Pico de Corrente do Motor,Tempo de Voo Estimado
ZOP,22.2,697.0,5500.0,AT3530,65.0,5.8701923076923075
GNB3X1500,22.2,654.0,4500.0,AT3530,65.0,7.684615384615384
TATTU3X1400,22.2,690.0,4200.0,AT3530,65.0,8.965384615384615
CNHL,22.2,625.0,4000.0,AT3530,65.0,2.276923076923077
TURNIGY,22.2,682.0,4000.0,AT3530,65.0,3.4153846153846152
CNHL2X2000,22.2,692.0,4000.0,AT3530,65.0,5.6923076923076925
GRAFENO HRB ,22.2,581.0,4000.0,AT3530,65.0,5.6923076923076925
OVNIC3x1300,22.2,666.0,3900.0,AT3530,65.0,5.55
TATTU3X1200,22.2,615.0,3600.0,AT3530,65.0,7.684615384615385
CNHL3X1100,22.2,633.0,3300.0,AT3530,65.0,4.696153846153846
GNB,22.2,403.0,3000.0,AT3530,65.0,5.123076923076923
